"DISPLAY_NAME","LABEL_TYPECODE","LPNAME"
"Ti/Kapton Baseplate HD Top","BA-THT","Ti/Kapton Baseplate HD Top"
"Ti/Kapton Baseplate LD Top","BA-TLT","Ti/Kapton Baseplate LD Top"
"Ti/Kapton Baseplate LD Bottom","BA-BLT","Ti/Kapton Baseplate LD Bottom"
"Ti/Kapton Baseplate LD Left","BA-LLT","Ti/Kapton Baseplate LD Left"
"Ti/Kapton Baseplate LD Right","BA-RLT","Ti/Kapton Baseplate LD Right"
"Ti/Kapton Baseplate LD Five","BA-5LT","Ti/Kapton Baseplate LD Five"
"Ti/Kapton Baseplate HD Full","BA-FHT","Ti/Kapton Baseplate HD Full"
"Ti/Kapton Baseplate LD Full","BA-FLT","Ti/Kapton Baseplate LD Full"
"CuW/Kapton Baseplate HD Full","BA-FHW","CuW/Kapton Baseplate HD Full"
"CuW/Kapton Baseplate LD Full","BA-FLW","CuW/Kapton Baseplate LD Full"
"CF/Kapton Baseplate HD Top","BA-THC","CF Baseplate HD Type 1"
"CF/Kapton Baseplate HD Bottom","BA-BHC","CF Baseplate HD Type 2"
"CF/Kapton Baseplate HD Left","BA-LHC","CF Baseplate HD Type 3"
"CF/Kapton Baseplate HD Right","BA-RHC","CF Baseplate HD Type 4"
"CF/Kapton Baseplate LD Top","BA-TLC","CF Baseplate LD Type 1"
"CF/Kapton Baseplate LD Bottom","BA-BLC","CF Baseplate LD Type 2"
"CF/Kapton Baseplate LD Left","BA-LLC","CF Baseplate LD Type 3"
"CF/Kapton Baseplate LD Right","BA-RLC","CF Baseplate LD Type 4"
"CF/Kapton Baseplate LD Five","BA-5LC","CF Baseplate LD Type 5"
"Cast Scint Tile Module G5R","TM-G5RC","Scintillator Cast Tile Module G5R"
"Cast Scint Tile Module A5","TM-A5FC","Scintillator Cast Tile Module A5"
"Cast Scint Tile Module K8R","TM-K8RC","Scintillator Cast Tile Module K8R"
"HGCAL Detector ROOT",,
"CuW/Kapton Baseplate Full","BA-F0W","CuW Baseplate Type 0"
"CF/Kapton Baseplate Full","BA-F0C","CF Baseplate Type 0"
"HD Engine Full PCB","EH-1BF","Engine-HD-Full-Prod-PCB"
"HD Engine Full","EH-10F","Engine-HD-Full-Prod"
"HD Engine Half PCB","EH-1BH","Engine-HD-Half-Prod-PCB"
"HD Engine Half","EH-10H","Engine-HD-Half-Prod"
"Scintillator Motherboard PCB","WM-MBB","Scintillator-Motherboard-PCB"
"Scintillator Motherboard","WM-MB0","Scintillator-Motherboard"
"Scintillator Wingboard BH","WM-WBH","Scintillator-Wingboard-BH"
"Scintillator Wingboard FH","WM-WFH","Scintillator-Wingboard-FH"
"120um Si Sensor HD Halfmoon-B","SH-1MBT","120um Si Sensor HD Halfmoon-S"
"120um Si Sensor HD Halfmoon-TL","SH-1MTL","120um Si Sensor HD Halfmoon-NW"
"120um Si Sensor HD Halfmoon-BL","SH-1MBL","120um Si Sensor HD Halfmoon-SW"
"120um Si Sensor HD Halfmoon-BR","SH-1MBR","120um Si Sensor HD Halfmoon-SE"
"120um Si Sensor HD Halfmoon-TR","SH-1MTR","120um Si Sensor HD Halfmoon-NE"
"200um Si Sensor LD Halfmoon-B","SL-2MBT","200um Sensor LD Halfmoon-S"
"200um Si Sensor LD Halfmoon-TL","SL-2MTL","200um Sensor LD Halfmoon-NW"
"200um Si Sensor LD Halfmoon-BL","SL-2MBL","200um Sensor LD Halfmoon-SW"
"200um Si Sensor LD Halfmoon-BR","SL-2MBR","200um Sensor LD Halfmoon-SE"
"200um Si Sensor LD Halfmoon-TR","SL-2MTR","200um Sensor LD Halfmoon-NE"
"300um Si Sensor LD Halfmoon-B","SL-3MBT","300um Si Sensor LD Halfmoon-S"
"300um Si Sensor LD Halfmoon-TL","SL-3MTL","300um Si Sensor LD Halfmoon-NW"
"300um Si Sensor LD Halfmoon-BL","SL-3MBL","300um Si Sensor LD Halfmoon-SW"
"300um Si Sensor LD Halfmoon-BR","SL-3MBR","300um Si Sensor LD Halfmoon-SE"
"300um Si Sensor LD Halfmoon-TR","SL-3MTR","300um Si Sensor LD Halfmoon-NE"
"Cast Scint Tile Module A6","TM-A6FC","Scintillator Cast Tile Module A6"
"Cast Scint Tile Module B11","TM-B1FC","Scintillator Cast Tile Module B11"
"Cast Scint Tile Module B12","TM-B2FC","Scintillator Cast Tile Module B12"
"Cast Scint Tile Module C5","TM-C5FC","Scintillator Cast Tile Module C5"
"Cast Scint Tile Module D8","TM-D8FC","Scintillator Cast Tile Module D8"
"Cast Scint Tile Module E8","TM-E8FC","Scintillator Cast Tile Module E8"
"Cast Scint Tile Module J12","TM-J2FC","Scintillator Cast Tile Module J12"
"Cast Scint Tile Module G3L","TM-G3LC","Scintillator Cast Tile Module G3L"
"Cast Scint Tile Module G3","TM-G3FC","Scintillator Cast Tile Module G3C"
"Cast Scint Tile Module G3R","TM-G3RC","Scintillator Cast Tile Module G3R"
"Cast Scint Tile Module G5L","TM-G5LC","Scintillator Cast Tile Module G5L"
"Cast Scint Tile Module G5","TM-G5FC","Scintillator Cast Tile Module G5C"
"Cast Scint Tile Module G7L","TM-G7LC","Scintillator Cast Tile Module G7L"
"Cast Scint Tile Module G7","TM-G7FC","Scintillator Cast Tile Module G7C"
"Cast Scint Tile Module G7R","TM-G7RC","Scintillator Cast Tile Module G7R"
"Cast Scint Tile Module G8L","TM-G8LC","Scintillator Cast Tile Module G8L"
"Cast Scint Tile Module G8","TM-G8FC","Scintillator Cast Tile Module G8C"
"Cast Scint Tile Module G8R","TM-G8RC","Scintillator Cast Tile Module G8R"
"Cast Scint Tile Module K11L","TM-K1LC","Scintillator Cast Tile Module K11L"
"Cast Scint Tile Module K11","TM-K1FC","Scintillator Cast Tile Module K11"
"Cast Scint Tile Module K11R","TM-K1RC","Scintillator Cast Tile Module K11R"
"Cast Scint Tile Module K6L","TM-K6LC","Scintillator Cast Tile Module K6L"
"Cast Scint Tile Module K6C","TM-K6FC","Scintillator Cast Tile Module K6C"
"Cast Scint Tile Module K6R","TM-K6RC","Scintillator Cast Tile Module K6R"
"Cast Scint Tile Module K12L","TM-K2LC","Scintillator Cast Tile Module K7L"
"Cast Scint Tile Module K12","TM-K2FC","Scintillator Cast Tile Module K7C"
"Cast Scint Tile Module K12R","TM-K2RC","Scintillator Cast Tile Module K7R"
"Cast Scint Tile Module K8L","TM-K8LC","Scintillator Cast Tile Module K8L"
"Cast Scint Tile Module K8C","TM-K8FC","Scintillator Cast Tile Module K8C"
"9mm SiPM","SP-09","9mm SiPM"
"200 um Si Sensor HD Top","SH-2TXX","200 um Si Sensor HD Top"
"SiPM QC Card","TS-SPQC","SiPM QC Card"
"Tile PCB A5 Bare","TP-A5F","Tile PCB A5 Bare"
"Tile PCB A6 Bare","TP-A6F","Tile PCB A6 Bare"
"Tile PCB B11 Bare","TP-B1F","Tile PCB B11 Bare"
"Tile PCB B12 Bare","TP-B2F","Tile PCB B12 Bare"
"Tile PCB C5 Bare","TP-C5F","Tile PCB C5 Bare"
"Tile PCB D8 Bare","TP-D8F","Tile PCB D8 Bare"
"Tile PCB E8 Bare","TP-E8F","Tile PCB E8 Bare"
"Tile PCB G3L Bare","TP-G3L","Tile PCB G3L Bare"
"Tile PCB G3R Bare","TP-G3R","Tile PCB G3R Bare"
"Tile PCB G3 Bare","TP-G3F","Tile PCB G3 Bare"
"Tile PCB G5L Bare","TP-G5L","Tile PCB G5L Bare"
"Tile PCB G5R Bare","TP-G5R","Tile PCB G5R Bare"
"Tile PCB G5 Bare","TP-G5F","Tile PCB G5 Bare"
"Tile PCB G7L Bare","TP-G7L","Tile PCB G7L Bare"
"Tile PCB G7R Bare","TP-G7R","Tile PCB G7R Bare"
"Tile PCB G7 Bare","TP-G7F","Tile PCB G7 Bare"
"Tile PCB G8L Bare","TP-G8L","Tile PCB G8L Bare"
"Tile PCB G8R Bare","TP-G8R","Tile PCB G8R Bare"
"Tile PCB G8 Bare","TP-G8F","Tile PCB G8 Bare"
"Tile PCB J12 Bare","TP-J2F","Tile PCB J12 Bare"
"Tile PCB K12L Bare","TP-K2L","Tile PCB K12L Bare"
"Tile PCB K12R Bare","TP-K2R","Tile PCB K12R Bare"
"Tile PCB K12 Bare","TP-K2F","Tile PCB K12 Bare"
"120um HD Si Sensor Wafer","SH-1SXX",
"200um LD Si Sensor Wafer","SL-2SXX",
"300um LD Si Sensor Wafer","SL-3SXX",
"120um Si Sensor HD Full","SH-1FXX","120um Sensor HD Type 0"
"120um Si Sensor HD Top","SH-1TXX","120um Sensor HD Type 1"
"120um Si Sensor HD Bottom","SH-1BXX","120um Sensor HD Type 2"
"120um Si Sensor HD Left","SH-1LXX","120um Sensor HD Type 3"
"120um Si Sensor HD Right","SH-1RXX","120um Sensor HD Type 4"
"120um Si Sensor HD Halfmoon-T","SH-1MTP","120um Si Sensor HD Halfmoon-N"
"200um Si Sensor LD Full","SL-2FXX","200um Sensor LD Type 0"
"200um Si Sensor LD Top","SL-2TXX","200um Sensor LD Type 1"
"200um Si Sensor LD Bottom","SL-2BXX","200um Sensor LD Type 2"
"200um Si Sensor LD Left","SL-2LXX","200um Sensor LD Type 3"
"200um Si Sensor LD Right","SL-2RXX","200um Sensor LD Type 4"
"200um Si Sensor LD Five","SL-25XX","200um Sensor LD Type 5"
"200um Si Sensor LD Halfmoon-T","SL-2MTP","200um Si Sensor LD Halfmoon-N"
"300um Si Sensor LD Full","SL-3FXX","300um Sensor LD Type 0"
"300um Si Sensor LD Top","SL-3TXX","300um Sensor LD Type 1"
"300um Si Sensor LD Bottom","SL-3BXX","300um Sensor LD Type 2"
"300um Si Sensor LD Left","SL-3LXX","300um Sensor LD Type 3"
"300um Si Sensor LD Right","SL-3RXX","300um Sensor LD Type 4"
"300um Si Sensor LD Five","SL-35XX","300um Sensor LD Type 5"
"300um Si Sensor LD Halfmoon-T","SL-3MTP","300um Si Sensor LD Halfmoon-N"
"CuW/Kapton Baseplate HD Top","BA-THW","CuW Baseplate HD Type 1"
"CuW/Kapton Baseplate HD Bottom","BA-BHW","CuW Baseplate HD Type 2"
"CuW/Kapton Baseplate HD Left","BA-LHW","CuW Baseplate HD Type 3"
"CuW/Kapton Baseplate HD Right","BA-RHW","CuW Baseplate HD Type 4"
"CuW/Kapton Baseplate LD Top","BA-TLW","CuW Baseplate LD Type 1"
"CuW/Kapton Baseplate LD Bottom","BA-BLW","CuW Baseplate LD Type 2"
"CuW/Kapton Baseplate LD Left","BA-LLW","CuW Baseplate LD Type 3"
"CuW/Kapton Baseplate LD Right","BA-RLW","CuW Baseplate LD Type 4"
"CuW/Kapton Baseplate LD Five","BA-5LW","CuW Baseplate LD Type 5"
"2mm SiPM","SP-02","2mm SiPM"
"4mm SiPM","SP-04","4mm SiPM"
"PS Bare Molded Tile BH Ring02","BI-02",
"PS Bare Molded Tile BH Ring04","BI-04",
"PS Bare Molded Tile BH Ring06","BI-06",
"PS Bare Molded Tile BH Ring08","BI-08",
"PS Bare Molded Tile BH Ring10","BI-10",
"PS Bare Molded Tile BH Ring12","BI-12",
"PS Bare Molded Tile BH Ring14","BI-14",
"PS Bare Molded Tile BH Ring16","BI-16",
"PS Molded Tile BH Ring02","TI-02",
"PS Molded Tile BH Ring04","TI-04",
"PS Molded Tile BH Ring06","TI-06",
"PS Molded Tile BH Ring08","TI-08",
"PS Molded Tile BH Ring10","TI-10",
"PS Molded Tile BH Ring12","TI-12",
"PS Molded Tile BH Ring14","TI-14",
"PS Molded Tile BH Ring16","TI-16",
"Bare Cast Tile FH7","BC-F7",
"Bare Cast Tile Special 2","BC-S2",
"Bare Cast Tile Special 5","BC-S5",
"Molded Tile Special 4","TI-S4","Molded Tile Special 4"
"Cast Quality Control Tile","TC-99",
"Cast Tile BH Ring04","TC-04",
"Cast Tile BH Ring10","TC-10",
"Cast Tile BH Ring16","TC-16",
"Cast Tile BH Ring22","TC-22",
"Cast Tile BH Ring28","TC-28",
"Cast Tile BH Ring32","TC-32",
"Cast Tile BH Ring38","TC-38",
"Bare Cast Tile BH Ring02","BC-02",
"Bare Cast Tile BH Ring08","BC-08",
"Bare Cast Tile BH Ring14","BC-14",
"Bare Cast Tile BH Ring20","BC-20",
"Bare Cast Tile BH Ring28","BC-28",
"Bare Cast Tile BH Ring34","BC-34",
"Bare Cast Tile BH Ring40","BC-40",
"Cast Tile FH1","TC-F1",
"Cast Tile FH2","TC-F2",
"Cast Tile FH3","TC-F3",
"Cast Tile FH4","TC-F4",
"Cast Tile FH5","TC-F5",
"Cast Tile FH6","TC-F6",
"Cast Tile FH7","TC-F7",
"Cast Tile FH8","TC-F8",
"Cast Tile Special 1","TC-S1",
"Cast Tile Special 2","TC-S2",
"Cast Tile Special 3","TC-S3",
"Cast Tile Special 4","TC-S4",
"Cast Tile Special 5","TC-S5",
"Cast Tile Special 6","TC-S6",
"Bare Cast Tile FH1","BC-F1",
"Bare Cast Tile FH2","BC-F2",
"Bare Cast Tile FH3","BC-F3",
"Bare Cast Tile FH4","BC-F4",
"Bare Cast Tile FH5","BC-F5",
"Bare Cast Tile FH6","BC-F6",
"Bare Cast Tile FH8","BC-F8",
"Bare Cast Tile Special 1","BC-S1",
"Bare Cast Tile Special 3","BC-S3",
"Bare Cast Tile Special 4","BC-S4",
"Bare Cast Tile Special 6","BC-S6",
"Molded Tile Special 3","TI-S3","Molded Tile Special 3"
"Molded Tile Special 5","TI-S5","Molded Tile Special 5"
"Molded Tile Special 6","TI-S6","Molded Tile Special 6"
"Cast Tile BH Ring00","TC-00",
"Cast Tile BH Ring02","TC-02",
"Cast Tile BH Ring06","TC-06",
"Cast Tile BH Ring08","TC-08",
"Cast Tile BH Ring12","TC-12",
"Cast Tile BH Ring14","TC-14",
"Cast Tile BH Ring18","TC-18",
"Cast Tile BH Ring20","TC-20",
"Cast Tile BH Ring24","TC-24",
"Cast Tile BH Ring26","TC-26",
"Cast Tile BH Ring30","TC-30",
"Cast Tile BH Ring34","TC-34",
"Cast Tile BH Ring36","TC-36",
"Cast Tile BH Ring40","TC-40",
"Bare Cast Tile BH Ring00","BC-00",
"Bare Cast Tile BH Ring04","BC-04",
"Bare Cast Tile BH Ring06","BC-06",
"Bare Cast Tile BH Ring10","BC-10",
"Bare Cast Tile BH Ring12","BC-12",
"Bare Cast Tile BH Ring16","BC-16",
"Bare Cast Tile BH Ring18","BC-18",
"Bare Cast Tile BH Ring22","BC-22",
"Bare Cast Tile BH Ring24","BC-24",
"Bare Cast Tile BH Ring26","BC-26",
"Bare Cast Tile BH Ring30","BC-30",
"Bare Cast Tile BH Ring32","BC-32",
"Bare Cast Tile BH Ring36","BC-36",
"Bare Cast Tile BH Ring38","BC-38",
"Molded Tile BH Ring18","TI-18",
"Molded Tile BH Ring20","TI-20",
"Scint Tileboard A5","TB-A5F","Scintillator Tileboard A5"
"Scint Tileboard A6","TB-A6F","Scintillator Tileboard A6"
"Scint Tileboard B11","TB-B1F","Scintillator Tileboard B11"
"Scint Tileboard B12","TB-B2F","Scintillator Tileboard B12"
"Scint Tileboard C5","TB-C5F","Scintillator Tileboard C5"
"Scint Tileboard D8","TB-D8F","Scintillator Tileboard D8"
"Scint Tileboard E8","TB-E8F","Scintillator Tileboard E8"
"Scint Tileboard J12","TB-J2F","Scintillator Tileboard J12"
"Scint Tileboard G3L","TB-G3L","Scintillator Tileboard G3L"
"Scint Tileboard G3C","TB-G3F","Scintillator Tileboard G3C"
"Scint Tileboard G3R","TB-G3R","Scintillator Tileboard G3R"
"Scint Tileboard G4L","TB-G5L","Scintillator Tileboard G5L"
"Scint Tileboard G4C","TB-G5F","Scintillator Tileboard G5C"
"Scint Tileboard G4R","TB-G5R","Scintillator Tileboard G5R"
"Scint Tileboard G7L","TB-G7L","Scintillator Tileboard G7L"
"Scint Tileboard G7C","TB-G7F","Scintillator Tileboard G7C"
"Scint Tileboard G7R","TB-G7R","Scintillator Tileboard G7R"
"Scint Tileboard G8L","TB-G8L","Scintillator Tileboard G8L"
"Scint Tileboard G8C","TB-G8F","Scintillator Tileboard G8C"
"Scint Tileboard G8R","TB-G8R","Scintillator Tileboard G8R"
"Scint Tileboard K11L","TB-K1L","Scintillator Tileboard K11L"
"Scint Tileboard K11","TB-K1F","Scintillator Tileboard K11C"
"Scint Tileboard K11R","TB-K1R","Scintillator Tileboard K11R"
"Scint Tileboard K6L","TB-K6L","Scintillator Tileboard K6L"
"Scint Tileboard K6C","TB-K6F","Scintillator Tileboard K6C"
"Scint Tileboard K6R","TB-K6R","Scintillator Tileboard K6R"
"Scint Tileboard K12L","TB-K2L","Scintillator Tileboard K12L"
"Scint Tileboard K12C","TB-K2F","Scintillator Tileboard K12C"
"Scint Tileboard K12R","TB-K2R","Scintillator Tileboard K12R"
"Scint Tileboard K8L","TB-K8L","Scintillator Tileboard K8L"
"Scint Tileboard K8C","TB-K8F","Scintillator Tileboard K8C"
"Scint Tileboard K8R","TB-K8R","Scintillator Tileboard K8R"
"9mm SiPM Reel","SP-R9","9mm SiPM"
"4mm SiPM Reel","SP-R4","4mm SiPM"
"HGC-LDO-HighBin","IC-LDH","HGC-LDO-HighBin"
"HGC-LDO-LowBin","IC-LDL","HGC-LDO-LowBin"
"GBTSCA-Stock","IC-SCS","GBTSCA-Stock"
"lpGBT","IC-LPG","lpGBT"
"lpGBT-Stock","IC-LPS","lpGBT-Stock"
"Molded Tile BH Ring22","TI-22",
"Molded Tile BH Ring24","TI-24",
"Molded Tile BH Ring26","TI-26",
"Molded Tile BH Ring28","TI-28",
"Molded Tile BH Ring30","TI-30",
"Molded Tile BH Ring32","TI-32",
"Molded Tile BH Ring34","TI-34",
"Molded Tile BH Ring36","TI-36",
"Molded Tile BH Ring38","TI-38",
"Molded Tile BH Ring40","TI-40",
"Bare Molded Tile Special 4","BI-S4",
"Bare Molded Tile Special 5","BI-S5",
"Bare Molded Tile Special 6","BI-S6",
"HAD 120um Si ProtoModule HD Right","PH-R1C","HAD 120um Si ProtoModule HD Type 4"
"Mold Scint Tile Module D8","TM-D8FI","Mold Scintillator Tile Module D8"
