KIND_OF_PART,SERIAL_NUMBER,BARCODE,NAME_LABEL,VERSION,BATCH_NUMBER,LOCATION,INSTITUTION,MANUFACTURER,PRODUCTION_DATE
Bare Hexaboard HD Full,320070100300053,320070100300053,Bare Hexaboard HD Full 320070100300053,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300054,320070100300054,Bare Hexaboard HD Full 320070100300054,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300055,320070100300055,Bare Hexaboard HD Full 320070100300055,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300056,320070100300056,Bare Hexaboard HD Full 320070100300056,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300057,320070100300057,Bare Hexaboard HD Full 320070100300057,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300077,320070100300077,Bare Hexaboard HD Full 320070100300077,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300084,320070100300084,Bare Hexaboard HD Full 320070100300084,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300087,320070100300087,Bare Hexaboard HD Full 320070100300087,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300088,320070100300088,Bare Hexaboard HD Full 320070100300088,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300089,320070100300089,Bare Hexaboard HD Full 320070100300089,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300090,320070100300090,Bare Hexaboard HD Full 320070100300090,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300091,320070100300091,Bare Hexaboard HD Full 320070100300091,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300096,320070100300096,Bare Hexaboard HD Full 320070100300096,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300097,320070100300097,Bare Hexaboard HD Full 320070100300097,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300098,320070100300098,Bare Hexaboard HD Full 320070100300098,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300099,320070100300099,Bare Hexaboard HD Full 320070100300099,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300100,320070100300100,Bare Hexaboard HD Full 320070100300100,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300102,320070100300102,Bare Hexaboard HD Full 320070100300102,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300103,320070100300103,Bare Hexaboard HD Full 320070100300103,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300108,320070100300108,Bare Hexaboard HD Full 320070100300108,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300109,320070100300109,Bare Hexaboard HD Full 320070100300109,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300111,320070100300111,Bare Hexaboard HD Full 320070100300111,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300116,320070100300116,Bare Hexaboard HD Full 320070100300116,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300117,320070100300117,Bare Hexaboard HD Full 320070100300117,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300118,320070100300118,Bare Hexaboard HD Full 320070100300118,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300121,320070100300121,Bare Hexaboard HD Full 320070100300121,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300123,320070100300123,Bare Hexaboard HD Full 320070100300123,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300168,320070100300168,Bare Hexaboard HD Full 320070100300168,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300169,320070100300169,Bare Hexaboard HD Full 320070100300169,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300171,320070100300171,Bare Hexaboard HD Full 320070100300171,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300013,320070100300013,Bare Hexaboard HD Full 320070100300013,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300019,320070100300019,Bare Hexaboard HD Full 320070100300019,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300049,320070100300049,Bare Hexaboard HD Full 320070100300049,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300051,320070100300051,Bare Hexaboard HD Full 320070100300051,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300059,320070100300059,Bare Hexaboard HD Full 320070100300059,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Full,320070100300128,320070100300128,Bare Hexaboard HD Full 320070100300128,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300129,320070100300129,Bare Hexaboard HD Full 320070100300129,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300130,320070100300130,Bare Hexaboard HD Full 320070100300130,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300132,320070100300132,Bare Hexaboard HD Full 320070100300132,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300134,320070100300134,Bare Hexaboard HD Full 320070100300134,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300135,320070100300135,Bare Hexaboard HD Full 320070100300135,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300137,320070100300137,Bare Hexaboard HD Full 320070100300137,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300139,320070100300139,Bare Hexaboard HD Full 320070100300139,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300144,320070100300144,Bare Hexaboard HD Full 320070100300144,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300145,320070100300145,Bare Hexaboard HD Full 320070100300145,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300148,320070100300148,Bare Hexaboard HD Full 320070100300148,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300150,320070100300150,Bare Hexaboard HD Full 320070100300150,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300152,320070100300152,Bare Hexaboard HD Full 320070100300152,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300153,320070100300153,Bare Hexaboard HD Full 320070100300153,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300154,320070100300154,Bare Hexaboard HD Full 320070100300154,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300155,320070100300155,Bare Hexaboard HD Full 320070100300155,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300156,320070100300156,Bare Hexaboard HD Full 320070100300156,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300157,320070100300157,Bare Hexaboard HD Full 320070100300157,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300158,320070100300158,Bare Hexaboard HD Full 320070100300158,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300159,320070100300159,Bare Hexaboard HD Full 320070100300159,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300160,320070100300160,Bare Hexaboard HD Full 320070100300160,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300161,320070100300161,Bare Hexaboard HD Full 320070100300161,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300172,320070100300172,Bare Hexaboard HD Full 320070100300172,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300173,320070100300173,Bare Hexaboard HD Full 320070100300173,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300174,320070100300174,Bare Hexaboard HD Full 320070100300174,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300175,320070100300175,Bare Hexaboard HD Full 320070100300175,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300188,320070100300188,Bare Hexaboard HD Full 320070100300188,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300189,320070100300189,Bare Hexaboard HD Full 320070100300189,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300190,320070100300190,Bare Hexaboard HD Full 320070100300190,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300191,320070100300191,Bare Hexaboard HD Full 320070100300191,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300197,320070100300197,Bare Hexaboard HD Full 320070100300197,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300199,320070100300199,Bare Hexaboard HD Full 320070100300199,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300200,320070100300200,Bare Hexaboard HD Full 320070100300200,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300201,320070100300201,Bare Hexaboard HD Full 320070100300201,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300253,320070100300253,Bare Hexaboard HD Full 320070100300253,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300305,320070100300305,Bare Hexaboard HD Full 320070100300305,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300317,320070100300317,Bare Hexaboard HD Full 320070100300317,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300192,320070100300192,Bare Hexaboard HD Full 320070100300192,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300193,320070100300193,Bare Hexaboard HD Full 320070100300193,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300194,320070100300194,Bare Hexaboard HD Full 320070100300194,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300195,320070100300195,Bare Hexaboard HD Full 320070100300195,V3-HD-V2.2,2434,NTU,National Taiwan University,Plotech,2024-08-23 12:00:00
Bare Hexaboard HD Full,320070100300204,320070100300204,Bare Hexaboard HD Full 320070100300204,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300205,320070100300205,Bare Hexaboard HD Full 320070100300205,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300241,320070100300241,Bare Hexaboard HD Full 320070100300241,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300245,320070100300245,Bare Hexaboard HD Full 320070100300245,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300265,320070100300265,Bare Hexaboard HD Full 320070100300265,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300266,320070100300266,Bare Hexaboard HD Full 320070100300266,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300267,320070100300267,Bare Hexaboard HD Full 320070100300267,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300270,320070100300270,Bare Hexaboard HD Full 320070100300270,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300275,320070100300275,Bare Hexaboard HD Full 320070100300275,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300278,320070100300278,Bare Hexaboard HD Full 320070100300278,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300288,320070100300288,Bare Hexaboard HD Full 320070100300288,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300289,320070100300289,Bare Hexaboard HD Full 320070100300289,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300290,320070100300290,Bare Hexaboard HD Full 320070100300290,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300291,320070100300291,Bare Hexaboard HD Full 320070100300291,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300292,320070100300292,Bare Hexaboard HD Full 320070100300292,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300295,320070100300295,Bare Hexaboard HD Full 320070100300295,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300300,320070100300300,Bare Hexaboard HD Full 320070100300300,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300302,320070100300302,Bare Hexaboard HD Full 320070100300302,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300320,320070100300320,Bare Hexaboard HD Full 320070100300320,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300321,320070100300321,Bare Hexaboard HD Full 320070100300321,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300324,320070100300324,Bare Hexaboard HD Full 320070100300324,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300326,320070100300326,Bare Hexaboard HD Full 320070100300326,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300328,320070100300328,Bare Hexaboard HD Full 320070100300328,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300329,320070100300329,Bare Hexaboard HD Full 320070100300329,V3-HD-V2.2,2436,NTU,National Taiwan University,Plotech,2024-09-06 12:00:00
Bare Hexaboard HD Full,320070100300360,320070100300360,Bare Hexaboard HD Full 320070100300360,V3-HD-V2.2,2442,NTU,National Taiwan University,Plotech,2024-10-18 12:00:00
Bare Hexaboard HD Full,320070100300361,320070100300361,Bare Hexaboard HD Full 320070100300361,V3-HD-V2.2,2442,NTU,National Taiwan University,Plotech,2024-10-18 12:00:00
Bare Hexaboard HD Top,320071000300004,320071000300004,Bare Hexaboard HD Top 320071000300004,V3-HD-Top-V1.0,2442,NTU,National Taiwan University,Plotech,2024-10-18 12:00:00
Bare Hexaboard HD Top,320071000300005,320071000300005,Bare Hexaboard HD Top 320071000300005,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300010,320071000300010,Bare Hexaboard HD Top 320071000300010,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300011,320071000300011,Bare Hexaboard HD Top 320071000300011,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300018,320071000300018,Bare Hexaboard HD Top 320071000300018,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300019,320071000300019,Bare Hexaboard HD Top 320071000300019,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300022,320071000300022,Bare Hexaboard HD Top 320071000300022,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300023,320071000300023,Bare Hexaboard HD Top 320071000300023,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300024,320071000300024,Bare Hexaboard HD Top 320071000300024,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300025,320071000300025,Bare Hexaboard HD Top 320071000300025,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300026,320071000300026,Bare Hexaboard HD Top 320071000300026,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300027,320071000300027,Bare Hexaboard HD Top 320071000300027,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300034,320071000300034,Bare Hexaboard HD Top 320071000300034,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300035,320071000300035,Bare Hexaboard HD Top 320071000300035,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300038,320071000300038,Bare Hexaboard HD Top 320071000300038,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300039,320071000300039,Bare Hexaboard HD Top 320071000300039,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300040,320071000300040,Bare Hexaboard HD Top 320071000300040,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300041,320071000300041,Bare Hexaboard HD Top 320071000300041,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300042,320071000300042,Bare Hexaboard HD Top 320071000300042,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300043,320071000300043,Bare Hexaboard HD Top 320071000300043,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300056,320071000300056,Bare Hexaboard HD Top 320071000300056,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300057,320071000300057,Bare Hexaboard HD Top 320071000300057,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300060,320071000300060,Bare Hexaboard HD Top 320071000300060,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00
Bare Hexaboard HD Top,320071000300061,320071000300061,Bare Hexaboard HD Top 320071000300061,V3-HD-Top-V1.0,2443,NTU,National Taiwan University,Plotech,2024-10-25 12:00:00